"","country","long","lat","program","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"1","Afghanistan",-66.03,33.83,"CSH",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150000,47945019,3.5e+07,35785000,37974000,69444000,27813000,0
"2","Afghanistan",-66.03,33.83,"DDS",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2671000,231000,113777303,354880927,290974654,445490416,689463607,810885866
"3","Afghanistan",-66.03,33.83,"DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3361305,7283228,46279941,157126174,173989599,197646281,165774243,147431872,3647457
"4","Afghanistan",-66.03,33.83,"ESFSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07,1995000,NA,NA,NA,NA,NA,NA,50000,26455294,289621552,892527672,1040289537,1261962171,1212809530,1371420099,1407978550
"5","Afghanistan",-66.03,33.83,"FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3358043,2271528,2924785,359596,NA,NA,NA
"6","Afghanistan",-66.03,33.83,"GHCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61767000,1750933
"7","Afghanistan",-66.03,33.83,"IP",NA,NA,NA,NA,1000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Afghanistan",-66.03,33.83,"MRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,2466064,5774376,2876857,11146395,12800000,38014479,47164955,12858672,7261668,11586488,15297750,13099261,18540220
"9","Afghanistan",-66.03,33.83,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332000,1e+05,1e+05,115000,3e+05,270000,504000,1046000,NA,NA,6.3e+07,NA,1.7e+08,1408466,1408466,120507593,287039049,575622108
"10","Afghanistan",-66.03,33.83,"NPAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,2200000,2615000,3e+06,2800000,43434000,96818000,60716326,32968585,22332988,26903894,28890549,34786591
"11","Afghanistan",-66.03,33.83,"OAGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405286,2315941,2408168,7594745,10079383,9696886,10942562,9238647,16900800,9540073,10607669
"12","Afghanistan",-66.03,33.83,"OSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139050,57068,61344,24000,24000,48000,48000,98000,48000,58000,NA,85000,717001,1219382,546445,1458435,1447768,2279328,2028680,5669015
"13","Afghanistan",-66.03,33.83,"OUSAID",NA,NA,NA,NA,NA,NA,3e+05,2200000,2500000,2e+06,18300000,14400000,8e+06,19400000,10400000,12800000,7500000,17400000,22200000,10800000,1.1e+07,25300000,8600000,8800000,6800000,8800000,9600000,27100000,12500000,16200000,6300000,20010000,4989000,3074000,NA,NA,NA,NA,NA,3369000,NA,NA,NA,NA,NA,NA,NA,1e+07,343000,NA,NA,NA,NA,NA,NA,9040859,156845236,130714501,34307462,39432331,11102253,21853934,43962332,82768828
