STOPID	PLANVERSIONID	SHORTNAME	LONGNAME	GPS_X	GPS_Y	DECIMALLONGITUDE	DECIMALLATITUDE
513080	40	K3C65B	Kr 3 entre Cl 65B y 69	-762916872	32810626	-76.48802	3.46961833
513081	40	C70K31	Cl 70 entre Kr 3 y 4C	-762909624	32808934	-76.48600667	3.46914833
513082	40	K5C70	Kr 5 entre Cl 70 y69	-762911100	32801656	-76.48641667	3.46712667
513083	40	K5C65A	Kr 5 entre Cl 65A y 64B	-762918360	32759532	-76.48843333	3.46653667
513084	40	K5C62B	Kr 5 entre Cl 62B y 62	-762924690	32757576	-76.49019167	3.46599333
513085	40	C62K4C	Cl 62 entre Kr 4C y 4B	-762928050	32803024	-76.491125	3.46750667
513086	40	K1C58Y56	Kr 1 entre Cl 58 y 56	-763006456	32843804	-76.50179333	3.47883444
513087	40	C56K4N	Cl 56 entre Kr 4N y 5N	-763013968	32850146	-76.50388	3.48059611
513089	40	C56K1B	Cl 56 entre Kr 1B y 1C	-763001716	32832207	-76.50047667	3.47561306
513092	40	K2C53	Kr 2 entre Cl 53 y 52B	-763002034	32807182	-76.500565	3.46866167
513093	40	C52K2B2	Cl 52 entre Kr 2B2 y 2E	-763005664	32757876	-76.50157333	3.46607667
513094	40	K3C52	Kr 3 entre Cl 52 y 53	-762959093	32757051	-76.49974806	3.4658475
513095	40	K3C56	Kr 3 entre Cl 56 y 57	-762951192	32759976	-76.49755333	3.46666
513096	40	K3C60	Kr 3 entre Cl 60 y 59D	-762935238	32805682	-76.49312167	3.468245
513097	40	K3C59	Kr 3 entre Cl 59 y 58	-762944100	32802952	-76.49558333	3.46748667
513098	40	K3C57	Kr 3 entre Cl 57 y 58	-762951528	32800528	-76.49764667	3.46681333
513099	40	K3C54	Kr 3 entre Cl 54 y 53	-762957552	32758452	-76.49932	3.46623667
513101	40	C52K2	Cl 52 entre Kr 3 y 2	-763005706	32802214	-76.501585	3.46728167
513102	40	C52K1E	Cl 52 entre Kr 1E y 1D2	-763008424	32812024	-76.50234	3.47000667
513103	40	C70K7	Cl 70 entre Kr 7 y 5	-762904278	32802034	-76.48452167	3.46723167
513104	40	C70K5	Cl 70 entre Kr 5 y 7	-762906966	32800618	-76.48526833	3.46683833
513105	40	C70K4	Cl 70 entre Kr 4 y 3D	-762906666	32809546	-76.485185	3.46931833
513106	40	C70K3	Cl 70 entre Kr 3 y 4C	-762909546	32808682	-76.485985	3.46907833
513107	40	C70K2-1	Cl 70 entre Kr 2 y 1J	-762911226	32824084	-76.48645167	3.47335667
513110	40	C70K1A14	Cl 70 entre Kr 1A14 y 1B	-762920766	32844322	-76.48910167	3.47897833
513111	40	C70K1A51	Cl 70 entre Kr 1A6 y A5	-762925806	32903774	-76.49050167	3.48438167
513112	40	C70K1A6	Cl 70 entre Kr 1 y 1A6	-762927648	32902064	-76.49101333	3.48390667
513113	40	C70K1	Cl 70 con Kr 1	-762941634	32910416	-76.49489833	3.48622667
513114	40	C70K11	Cl 70 con Kr 1 1	-762943260	32908804	-76.49535	3.48577889
513118	40	K5C28	Kr 5 entre Cl 28 y 29	-763103270	32727306	-76.517575	3.457585
513119	40	K5C32	Kr 5 entre Cl 32 y 33	-763051498	32730546	-76.514305	3.458485
513120	40	K5C35	Kr 5 entre Cl 35 y 34	-763047004	32732364	-76.51305667	3.45899
513121	40	K5C34	Kr 5 entre Cl 34 y 35	-763046302	32732256	-76.51286167	3.45896
513122	40	K5C38	Kr 5 entre Cl 38 y 36A	-763039114	32735010	-76.510865	3.459725
513123	40	K5C37	Kr 5 entre Cl 37 y 38	-763038016	32734848	-76.51056	3.45968
513124	40	K5C44	Kr 5 entre Cl 44 y 43	-763027648	32738712	-76.50768	3.46075333
513127	40	K5C46	Kr 5 entre Cl 46 y 47	-763012522	32742798	-76.50347833	3.46188833
513128	40	C52K5	Cl 52 entre Kr 5 y 4C	-763002258	32747817	-76.50062722	3.4632825
513129	40	K2C52	Kr 2 entre Cl 52 y 56	-763002178	32806528	-76.500605	3.46848
513131	40	K2C572	Kr 2 entre Cl 57 y 58	-762951534	32809648	-76.49764833	3.46934667
513132	40	K2C60	Kr 2 entre Cl 60 y 59B	-762942762	32813272	-76.49521167	3.47035333
513133	40	K2C592	Kr 2 entre Cl 59A y 60	-762943242	32812324	-76.495345	3.47009
513134	40	K2C621	Kr 2 entre Cl 62 y 60	-762935454	32815456	-76.49318167	3.47096
513135	40	K2C61A2	Kr 2 entre Cl 61A y 62	-762934572	32815108	-76.49293667	3.47086333
513136	40	K2C641	Kr 2 entre Cl 64 y 62	-762927906	32817580	-76.491085	3.47155
513137	40	K2C64	Kr 2 entre Cl 62 y 65	-762926082	32817766	-76.49057833	3.47160167
513138	40	K2C671	Kr 2 entre Cl 67 y 66	-762921792	32819542	-76.48938667	3.472095
513139	40	K2C65	Kr 2 entre Cl 65 y 67	-762919758	32819650	-76.48882167	3.472125
513140	40	C70K2-2	Cl 70 entre Kr 2 y 2A	-762913261	32820105	-76.48701694	3.47225139
513141	40	C73K7	Cl 73 entre Kr 7 y 2F	-762848772	32808289	-76.48021444	3.46896917
513142	40	C73K2F	Cl 73 entre Kr 2F y 2E	-762852346	32816453	-76.48120722	3.47123694
513143	40	C73K1I	Cl 73 entre Kr 1I y 1J	-762857972	32827954	-76.48277	3.47443167
