"","country","long","lat","program","year","investment","invLog"
"1","Afghanistan",-66.03,33.83,"CSH","1946",80,1.90308998699194
"2","Afghanistan",-66.03,33.83,"DDS","1946",5,0.698970004336019
"25","Albania",-20.03,41.11,"IP","1946",1.3e+07,7.11394335230684
"67","Argentina",65.16,-35.63,"IP","1946",1000,3
"99","Asia_not_specified",-106.46,36.42,"IP","1946",1000,3
"115","Austria",-14.14,47.59,"IP","1946",65800000,7.81822589361396
"188","Belgium",-4.64,50.65,"IP","1946",6e+05,5.77815125038364
"229","Bolivia",64.67,-16.71,"IP","1946",4e+05,5.60205999132796
"276","Brazil",52.97,-10.81,"IP","1946",17200000,7.23552844690755
"450","Chile",72.44,-39.12,"IP","1946",1400000,6.14612803567824
"485","China_Taiwan",-120.9,23.69,"IP","1946",128700000,8.10957854690439
"499","Colombia",73.28,4,"IP","1946",5e+05,5.69897000433602
"555","Costa_Rica",83.88,10,"IP","1946",2e+06,6.30102999566398
"596","Cuba",79.01,22.1,"IP","1946",1e+05,5
"645","Dominican_Republic",70.34,19.05,"IP","1946",2e+05,5.30102999566398
"671","Eastern_Europe_not_specified",-22.78,49.58,"IP","1946",112800000,8.05230909964732
"687","Ecuador",78.87,-1.42,"IP","1946",6e+05,5.77815125038364
"704","Egypt",-29.87,26.75,"IP","1946",9600000,6.98227123303957
"720","El_Salvador",88.87,13.67,"IP","1946",5e+05,5.69897000433602
"773","Ethiopia",-39.63,8.62,"IP","1946",4e+05,5.60205999132796
"791","EurAsia_not_specified",-31.01,52.42,"IP","1946",86200000,7.93550726582471
"809","Finland",-25.99,64.29,"IP","1946",9100000,6.95904139232109
"815","France",-2.34,46.64,"IP","1946",302600000,8.48086892368717
"867","Germany",-10.38,51.2,"IP","1946",195800000,8.29181268746712
"893","Greece",-23.74,38.3,"IP","1946",195200000,8.29047981333067
"912","Guatemala",90.16,15.48,"IP","1946",8e+05,5.90308998699194
"973","Haiti",72.44,19.09,"IP","1946",3e+05,5.47712125471966
"992","Honduras",86.27,14.97,"IP","1946",3e+05,5.47712125471966
"1005","Hungary",-19.42,47.17,"IP","1946",3900000,6.5910646070265
"1023","India",-79.14,22.67,"IP","1946",39200000,7.59328606702046
"1042","Indonesia",-119.52,-2.96,"IP","1946",4100000,6.61278385671974
"1057","Iran",-54.29,32.5,"IP","1946",3300000,6.51851393987789
"1098","Italy",-12.49,42.77,"IP","1946",423300000,8.62664826847401
"1120","Japan",-136.06,35.16,"IP","1946",106700000,8.02816441942447
"1185","Korea_South",-127.51,36.1,"IP","1946",5600000,6.7481880270062
"1275","Lebanon",-35.81,33.95,"IP","1946",1600000,6.20411998265593
"1306","Liberia",9.32,6.41,"IP","1946",6800000,6.83250891270624
"1464","Mexico",102.63,23.91,"IP","1946",1200000,6.07918124604763
"1597","Netherlands",-5.53,52.34,"IP","1946",24500000,7.38916608436453
"1611","Nicaragua",84.92,12.9,"IP","1946",1700000,6.23044892137827
"1663","Oceania_not_specified",-130.84,-12.47,"IP","1946",4400000,6.64345267648619
"1704","Panama",80.41,8.6,"IP","1946",2e+05,5.30102999566398
"1731","Paraguay",58.39,-23.24,"IP","1946",4e+05,5.60205999132796
"1747","Peru",75.11,-9.21,"IP","1946",6e+05,5.77815125038364
"1766","Philippines",-122.71,12.02,"IP","1946",31400000,7.49692964807322
"1781","Poland",-19.38,52.15,"IP","1946",224900000,8.35198945543563
"1864","Saudi_Arabia",-44.44,23.89,"IP","1946",4300000,6.63346845557959
"1903","Serbia_and_Montenegro_Former",-19.75,43.04,"IP","1946",195300000,8.29070224328786
"2087","Sweden",-16.24,62.92,"IP","1946",5e+05,5.69897000433602
"2142","Thailand",-101.1,15.23,"IP","1946",6200000,6.79239168949825
"2211","Turkey",-34.93,39.05,"IP","1946",6100000,6.78532983501077
"2280","United_Kingdom",2.78,54.07,"IP","1946",79900000,7.90254677931399
"2288","Uruguay",56.01,-32.86,"IP","1946",6e+05,5.77815125038364
"2320","Venezuela",66.15,7.67,"IP","1946",6e+05,5.77815125038364
"2382","World_not_specified",40,30,"IP","1946",119300000,8.07664044367034
"2396","World_not_specified",40,30,"VCMO","1946",6.35e+08,8.80277372529198
"2447","Afghanistan",-66.03,33.83,"CSH","1947",0,-Inf
"2448","Afghanistan",-66.03,33.83,"DDS","1947",0,-Inf
"2471","Albania",-20.03,41.11,"IP","1947",7400000,6.86923171973098
"2513","Argentina",65.16,-35.63,"IP","1947",1000,3
"2558","Australia",-134.5,-25.58,"IP","1947",6700000,6.82607480270083
"2561","Austria",-14.14,47.59,"IP","1947",100400000,8.001733712809
"2634","Belgium",-4.64,50.65,"IP","1947",30600000,7.48572142648158
"2675","Bolivia",64.67,-16.71,"IP","1947",4e+05,5.60205999132796
"2722","Brazil",52.97,-10.81,"IP","1947",1300000,6.11394335230684
"2769","Burma_Myanmar_",-96.11,21.41,"IP","1947",5e+06,6.69897000433602
"2896","Chile",72.44,-39.12,"IP","1947",1700000,6.23044892137827
"2931","China_Taiwan",-120.9,23.69,"IP","1947",322700000,8.5087989654039
"2945","Colombia",73.28,4,"IP","1947",1100000,6.04139268515823
"3001","Costa_Rica",83.88,10,"IP","1947",4e+05,5.60205999132796
"3042","Cuba",79.01,22.1,"IP","1947",1e+05,5
"3062","Denmark",-9.56,56.1,"IP","1947",1e+06,6
"3091","Dominican_Republic",70.34,19.05,"IP","1947",2e+05,5.30102999566398
"3117","Eastern_Europe_not_specified",-22.78,49.58,"IP","1947",78100000,7.8926510338773
"3133","Ecuador",78.87,-1.42,"IP","1947",7e+05,5.84509804001426
"3166","El_Salvador",88.87,13.67,"IP","1947",3e+05,5.47712125471966
"3219","Ethiopia",-39.63,8.62,"IP","1947",4e+05,5.60205999132796
"3237","EurAsia_not_specified",-31.01,52.42,"IP","1947",100200000,8.00086772153123
"3255","Finland",-25.99,64.29,"IP","1947",7300000,6.86332286012046
"3261","France",-2.34,46.64,"IP","1947",42800000,7.63144376901317
"3313","Germany",-10.38,51.2,"IP","1947",298300000,8.47465325336206
"3339","Greece",-23.74,38.3,"IP","1947",180900000,8.25743856685981
"3358","Guatemala",90.16,15.48,"IP","1947",1e+06,6
"3419","Haiti",72.44,19.09,"IP","1947",3e+05,5.47712125471966
"3438","Honduras",86.27,14.97,"IP","1947",6e+05,5.77815125038364
"3451","Hungary",-19.42,47.17,"IP","1947",14400000,7.15836249209525
"3488","Indonesia",-119.52,-2.96,"IP","1947",63600000,7.80345711564841
"3503","Iran",-54.29,32.5,"IP","1947",22500000,7.35218251811136
"3515","Iraq",-43.8,33.04,"IP","1947",9e+05,5.95424250943933
"3544","Italy",-12.49,42.77,"IP","1947",416700000,8.61982350045728
"3566","Japan",-136.06,35.16,"IP","1947",389300000,8.59028440371816
"3631","Korea_South",-127.51,36.1,"IP","1947",75500000,7.87794695162919
"3910","Mexico",102.63,23.91,"IP","1947",11300000,7.05307844348342
"4043","Netherlands",-5.53,52.34,"IP","1947",1300000,6.11394335230684
"4048","New Zealand",-172.94,-41.67,"IP","1947",4300000,6.63346845557959
"4057","Nicaragua",84.92,12.9,"IP","1947",1700000,6.23044892137827
"4101","Norway",-13.24,65.4,"IP","1947",24400000,7.38738982633873
"4150","Panama",80.41,8.6,"IP","1947",2e+05,5.30102999566398
"4177","Paraguay",58.39,-23.24,"IP","1947",4e+05,5.60205999132796
"4193","Peru",75.11,-9.21,"IP","1947",5600000,6.7481880270062
"4212","Philippines",-122.71,12.02,"IP","1947",136500000,8.13513265137678
"4227","Poland",-19.38,52.15,"IP","1947",176900000,8.24772783290972
"4349","Serbia_and_Montenegro_Former",-19.75,43.04,"IP","1947",102800000,8.01199311465926
"4423","South_Africa",-25.06,-29.05,"IP","1947",1300000,6.11394335230684
"4657","Turkey",-34.93,39.05,"IP","1947",2800000,6.44715803134222
"4726","United_Kingdom",2.78,54.07,"IP","1947",3.757e+09,9.57484119506339
"4734","Uruguay",56.01,-32.86,"IP","1947",1e+05,5
"4766","Venezuela",66.15,7.67,"IP","1947",3e+05,5.47712125471966
"4828","World_not_specified",40,30,"IP","1947",141900000,8.15198239545747
"4893","Afghanistan",-66.03,33.83,"CSH","1948",0,-Inf
"4894","Afghanistan",-66.03,33.83,"DDS","1948",0,-Inf
"4959","Argentina",65.16,-35.63,"IP","1948",1000,3
"5007","Austria",-14.14,47.59,"IP","1948",161700000,8.2087100199064
"5080","Belgium",-4.64,50.65,"IP","1948",2e+05,5.30102999566398
"5121","Bolivia",64.67,-16.71,"IP","1948",4e+05,5.60205999132796
"5168","Brazil",52.97,-10.81,"IP","1948",1400000,6.14612803567824
"5342","Chile",72.44,-39.12,"IP","1948",9e+05,5.95424250943933
"5377","China_Taiwan",-120.9,23.69,"IP","1948",50900000,7.70671778233676
"5391","Colombia",73.28,4,"IP","1948",2e+05,5.30102999566398
"5447","Costa_Rica",83.88,10,"IP","1948",201000,5.30319605742049
"5488","Cuba",79.01,22.1,"IP","1948",1e+05,5
"5537","Dominican_Republic",70.34,19.05,"IP","1948",1e+05,5
"5579","Ecuador",78.87,-1.42,"IP","1948",6e+05,5.77815125038364
"5596","Egypt",-29.87,26.75,"IP","1948",1400000,6.14612803567824
"5612","El_Salvador",88.87,13.67,"IP","1948",301000,5.47856649559384
"5701","Finland",-25.99,64.29,"IP","1948",10200000,7.00860017176192
"5707","France",-2.34,46.64,"IP","1948",363700000,8.56074330105471
"5759","Germany",-10.38,51.2,"IP","1948",850300000,8.92957217907655
"5785","Greece",-23.74,38.3,"IP","1948",134400000,8.12839926871781
"5804","Guatemala",90.16,15.48,"IP","1948",1700000,6.23044892137827
"5865","Haiti",72.44,19.09,"IP","1948",8e+05,5.90308998699194
"5884","Honduras",86.27,14.97,"IP","1948",3e+05,5.47712125471966
"5915","India",-79.14,22.67,"IP","1948",7e+05,5.84509804001426
"5990","Italy",-12.49,42.77,"IP","1948",3.31e+08,8.51982799377572
"6012","Japan",-136.06,35.16,"IP","1948",483700000,8.68457608738846
"6077","Korea_South",-127.51,36.1,"IP","1948",100100000,8.00043407747932
"6198","Liberia",9.32,6.41,"IP","1948",7e+05,5.84509804001426
"6356","Mexico",102.63,23.91,"IP","1948",30100000,7.47856649559384
"6489","Netherlands",-5.53,52.34,"IP","1948",10200000,7.00860017176192
"6503","Nicaragua",84.92,12.9,"IP","1948",501000,5.69983772586725
"6547","Norway",-13.24,65.4,"IP","1948",6e+05,5.77815125038364
"6555","Oceania_not_specified",-130.84,-12.47,"IP","1948",1e+06,6
"6576","Pakistan",-68.76,29.32,"IP","1948",1e+05,5
"6596","Panama",80.41,8.6,"IP","1948",2e+05,5.30102999566398
"6623","Paraguay",58.39,-23.24,"IP","1948",4e+05,5.60205999132796
"6639","Peru",75.11,-9.21,"IP","1948",1300000,6.11394335230684
"6658","Philippines",-122.71,12.02,"IP","1948",88800000,7.9484129657786
"7103","Turkey",-34.93,39.05,"IP","1948",3300000,6.51851393987789
