id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
UC-perPenLfqpxwoUIlK-oVg,0,,false,,32021,570,2506271
UCdwFnSqn35OljNlJSRSDXoQ,86,,false,,386533,388,113811759
UCpm6vCgiehSKHtMFFS5ukiA,41,,false,,1387092,1423,317308013
UCyAWMp750sj3BjTMjm945Xw,62,,false,,88931,208,7447781
UCGq7ov9-Xk9fkeQjeeXElkQ,62,,false,,301640,537,51089380
UCmkzHTYqXFtd_TSZGrGUI_g,38,,false,,16970,178,1643882
UCWy8jDk2k93E0c6iGdMnt_A,37,,false,,955013,460,58979458
UCDt0iwnK2sPXaOyZhVmXIQw,83,,false,,408880,1278,74232770
UCf9nPxU5fjMS3O5unT0O0jQ,44,,false,,241269,249,12187383
UCl4i6QsatTho9QJW50GbLAA,404,,false,,206052,433,15938005
UCOoYNZKnYW6JP_i2NjkaTdA,9,,false,,1399968,7615,435013071
UC4rL5t2W0BYzp0uYCDj9jjQ,0,,false,,7814,55,98785
UCmWB2Ys7CkVg7WU0yIBBgfQ,174,,false,,162140,203,85448860
UC2bb6_3quWhMjCdxTGn-vKA,0,,false,,426531,2092,375591532
UCLcVrMNmnc3wnjm5IbZ8vgQ,0,,true,,0,64,174620159
,,,,,,,
UCgSvw7asvNq7wJWKMSW28Eg,1682,,false,,4107286,486,275742044
UC5RvmSFOO3NvKTEoIhp0kjg,19,,false,,1130282,428,155745278
UCE_F6RlfN2BMxsOuoRQIB0w,0,,false,,43838,745,28843335
UCPNDZBSSUJ0d94jQjb1u6rQ,208,,false,,1308115,435,189227397
UCl5i1KWUAV7hdT5_tL8l6RA,3,,false,,4166476,281,250340835
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
T3RSEI6e7D0,39,4,,399,,,8676
x8N5X-2xAbg,5616,1145,,62570,,,669612
V6iKSUoUN48,12278,9417,,386707,,,44681614
3rgyEYHB1jA,25,3,,300,,,6105
6tryVZi1Gws,701,522,,1694,,,68058
